x,Re_x,Nu_cfd,Nu_analytical,error_percent
4.019409999999994099e-04,1.163513421052630008e+02,4.564766567304281430e+00,3.194796734701965679e+00,4.288128311017936767e+01
8.071459999999981705e-04,2.336475263157889799e+02,5.191155111372085074e+00,4.527288044710045867e+00,1.466368077546426996e+01
1.215641999999999417e-03,3.518963684210525003e+02,5.400108822624995142e+00,5.556034396775132223e+00,-2.806418445512870896e+00
1.627454000000000400e-03,4.711051052631580660e+02,6.154668740290340168e+00,6.428600512631788888e+00,-4.261141624886945145e+00
2.042610999999999732e-03,5.912821315789473147e+02,7.028094773459930167e+00,7.202029745325702947e+00,-2.415082664420553193e+00
2.461139000000001076e-03,7.124349736842109451e+02,7.789968987624019903e+00,7.905514667382942839e+00,-1.461583269659196160e+00
2.883066000000000101e-03,8.345717368421054516e+02,8.461701716986205213e+00,8.556366324706202064e+00,-1.106364595992765931e+00
3.308418999999999943e-03,9.577002368421053689e+02,9.086254326297044770e+00,9.165841241187111521e+00,-8.682990769296705658e-01
3.737225000000000269e-03,1.081828289473684436e+03,9.678890755862633810e+00,9.741743720272015850e+00,-6.451921361736152605e-01
4.169513999999999165e-03,1.206964578947368409e+03,1.024357287088293766e+01,1.028974934820063325e+01,-4.487619256320413696e-01
4.605313999999999242e-03,1.333117210526315830e+03,1.078310874390722240e+01,1.081413285896098664e+01,-2.868849075407512994e-01
5.044652000000000164e-03,1.460294000000000324e+03,1.130054300502773934e+01,1.131820833285304850e+01,-1.560788360294845245e-01
5.487558000000000019e-03,1.588503631578947534e+03,1.179875504388528284e+01,1.180460988683656431e+01,-4.959793680103111169e-02
5.934059999999997947e-03,1.717754210526315319e+03,1.228019675167031721e+01,1.227546759416808086e+01,3.852527381102052728e-02
6.384187999999998975e-03,1.848054421052631596e+03,1.274685170096369546e+01,1.273253595710095176e+01,1.124343485930608538e-01
6.837972000000001188e-03,1.979412947368421328e+03,1.320036934642736171e+01,1.317727885864089110e+01,1.752295601707571648e-01
7.295440000000000258e-03,2.111837894736842372e+03,1.364211940193290573e+01,1.361093069318267013e+01,2.291445710311136030e-01
7.756623000000000684e-03,2.245338236842105744e+03,1.407324932784305460e+01,1.403454765031514739e+01,2.757600636101595892e-01
8.221552000000000027e-03,2.379922947368421319e+03,1.449473447202002419e+01,1.444903960693585354e+01,3.162484589095880816e-01
